((75, 88), 88, 88, 289)
((101, 88), 88, 88, 290)
((75, 88), 75, 88, 291)
((88, 75), 75, 75, 292)
((75, 88), 75, 88, 293)
((65, 60), 55, 60, 294)
((5, 42), 42, 42, 295)
((15, 11), 6, 11, 296)
((88, 76), 76, 76, 297)
((101, 76), 76, 76, 298)
((78, 76), 76, 76, 299)
((111, 97), 97, 97, 300)
((51, 30), 30, 30, 301)
((54, 73), 73, 73, 302)
((76, 6), 6, 6, 303)
((11, 6), 6, 6, 304)
((62, 58), 28, 58, 305)
((6, 11), 11, 11, 306)
((88, 101), 76, 101, 307)
((6, 76), 76, 76, 308)
((101, 76), 76, 76, 309)
((76, 89), 89, 89, 310)
((101, 76), 89, 76, 311)
((101, 88), 89, 88, 312)
((76, 89), 89, 89, 313)
((18, 74), 74, 74, 314)
((18, 74), 74, 74, 315)
((57, 58), 57, 58, 316)
((8, 6), 6, 6, 317)
((54, 6), 6, 6, 318)
((54, 6), 6, 6, 319)
((101, 76), 76, 76, 320)
((77, 76), 76, 76, 321)
((101, 89), 97, 89, 322)
((19, 130), 130, 130, 323)
((97, 11), 56, 11, 324)
((76, 81), 81, 81, 325)
((42, 6), 42, 6, 326)
((81, 76), 76, 76, 327)
((101, 76), 76, 76, 328)
((86, 76), 76, 76, 329)
((101, 76), 76, 76, 330)
((89, 76), 76, 76, 331)
((101, 88), 88, 88, 332)
((101, 88), 88, 88, 333)
((97, 88), 88, 88, 334)
((76, 88), 88, 88, 335)
((101, 88), 88, 88, 336)
((101, 88), 88, 88, 337)
((101, 88), 88, 88, 338)
((101, 88), 88, 88, 339)
((75, 88), 88, 88, 340)
((54, 64), 64, 64, 341)
((81, 88), 88, 88, 342)
((101, 88), 86, 88, 343)
((97, 86), 86, 86, 344)
((97, 86), 86, 86, 345)
((88, 86), 86, 86, 346)
((88, 86), 86, 86, 347)
((86, 97), 86, 97, 348)
((88, 86), 86, 86, 349)
((89, 76), 76, 76, 350)
((6, 76), 76, 76, 351)
((81, 88), 88, 88, 352)
((86, 88), 88, 88, 353)
((76, 101), 76, 101, 354)
((76, 88), 76, 88, 355)
((101, 76), 76, 76, 356)
((89, 76), 76, 76, 357)
((89, 76), 76, 76, 358)
((88, 76), 76, 76, 359)
((6, 76), 76, 76, 360)
((78, 89), 76, 89, 361)
((101, 76), 76, 76, 362)
((6, 76), 76, 76, 363)
((81, 76), 76, 76, 364)
((6, 76), 6, 76, 365)
((6, 76), 6, 76, 366)
((101, 88), 88, 88, 367)
((101, 88), 88, 88, 368)
((101, 88), 88, 88, 369)
((97, 94), 94, 94, 370)
((101, 76), 76, 76, 371)
((42, 143), 55, 143, 372)
((27, 57), 28, 57, 373)
((75, 88), 75, 88, 374)
((26, 6), 40, 6, 375)
((6, 9), 6, 9, 376)
((24, 67), 24, 67, 377)
((24, 46), 24, 46, 378)
((62, 24), 24, 24, 379)
((10, 67), 24, 67, 380)
((24, 67), 24, 67, 381)
((53, 10), 10, 10, 382)
((86, 88), 88, 88, 383)
((86, 88), 88, 88, 384)
((81, 88), 88, 88, 385)
((76, 88), 88, 88, 386)
((86, 88), 88, 88, 387)
((75, 88), 88, 88, 388)
((88, 81), 81, 81, 389)
((30, 31), 25, 31, 390)
((0, 56), 0, 56, 391)
((88, 75), 75, 75, 392)
((75, 88), 75, 88, 393)
